name,link,rdf_link
Rolf Barth,https://profiles.uchicago.edu/profiles/profile/20619725,https://profiles.uchicago.edu/profiles/profile/20619725/20619725.rdf
Cynthia Bartholow,https://profiles.uchicago.edu/profiles/profile/37545,https://profiles.uchicago.edu/profiles/profile/37545/37545.rdf
Allison Bartlett,https://profiles.uchicago.edu/profiles/profile/37148,https://profiles.uchicago.edu/profiles/profile/37148/37148.rdf
Ravi Bashyal,https://profiles.uchicago.edu/profiles/profile/2119243,https://profiles.uchicago.edu/profiles/profile/2119243/2119243.rdf
Juliana Basko-Plluska,https://profiles.uchicago.edu/profiles/profile/915457,https://profiles.uchicago.edu/profiles/profile/915457/915457.rdf
Anindita Basu,https://profiles.uchicago.edu/profiles/profile/9443534,https://profiles.uchicago.edu/profiles/profile/9443534/9443534.rdf
John Bates,https://profiles.uchicago.edu/profiles/profile/36731,https://profiles.uchicago.edu/profiles/profile/36731/36731.rdf
Bruce Bauer,https://profiles.uchicago.edu/profiles/profile/36867,https://profiles.uchicago.edu/profiles/profile/36867/36867.rdf
Michael Baxa,https://profiles.uchicago.edu/profiles/profile/37456,https://profiles.uchicago.edu/profiles/profile/37456/37456.rdf
David Beam,https://profiles.uchicago.edu/profiles/profile/36891712,https://profiles.uchicago.edu/profiles/profile/36891712/36891712.rdf
Zachary Bean,https://profiles.uchicago.edu/profiles/profile/70935093,https://profiles.uchicago.edu/profiles/profile/70935093/70935093.rdf
Andrew Beaser,https://profiles.uchicago.edu/profiles/profile/13049714,https://profiles.uchicago.edu/profiles/profile/13049714/13049714.rdf
Brett Beaulieu-Jones,https://profiles.uchicago.edu/profiles/profile/30293122,https://profiles.uchicago.edu/profiles/profile/30293122/30293122.rdf
Kathleen Beavis,https://profiles.uchicago.edu/profiles/profile/2101360,https://profiles.uchicago.edu/profiles/profile/2101360/2101360.rdf
Thomas Bebekoski,https://profiles.uchicago.edu/profiles/profile/48492010,https://profiles.uchicago.edu/profiles/profile/48492010/48492010.rdf
Lev Becker,https://profiles.uchicago.edu/profiles/profile/38359,https://profiles.uchicago.edu/profiles/profile/38359/38359.rdf
